,station_id,station_name,raccnt,station_lat,station_lon,ADM_NM,gu
0,9ST-4,102. 망원역 1번출구 앞,15,37.555648,126.910629,서교동,마포구
1,ST-5,103. 망원역 2번출구 앞,14,37.55495,126.910835,망원1동,마포구
2,ST-6,104. 합정역 1번출구 앞,13,37.550739,126.915084,서교동,마포구
3,ST-7,105. 합정역 5번출구 앞,5,37.550006,126.914825,서교동,마포구
4,ST-8,106. 합정역 7번출구 앞,12,37.548645,126.912826,합정동,마포구
5,ST-9,107. 신한은행 서교동지점,5,37.55751,126.918502,서교동,마포구
6,ST-10,108. 서교동 사거리,12,37.552745,126.918617,서교동,마포구
7,ST-15,111. 상수역 2번출구 앞,10,37.54787,126.92353,서강동,마포구
8,ST-16,112. 극동방송국 앞,10,37.549201,126.923202,서강동,마포구
9,ST-18,113. 홍대입구역 2번출구 앞,25,37.557437,126.92382,서교동,마포구
10,ST-20,114. 홍대입구역 8번출구 앞,15,37.55706,126.924423,서교동,마포구
11,ST-12,115. 마스타 빌딩 앞,15,37.558933,126.927116,신촌동,서대문구
12,ST-17,117. 홍은사거리,23,37.591159,126.941329,홍은2동,서대문구
13,ST-19,118. 광흥창역 2번출구 앞,9,37.547733,126.931762,서강동,마포구
14,ST-21,119. 서강나루 공원,10,37.545207,126.931465,신수동,마포구
15,ST-22,120. 신수동 사거리,5,37.545242,126.934112,신수동,마포구
16,ST-23,121. 마포소방서 앞,15,37.549766,126.933174,신수동,마포구
17,ST-24,122. 신성기사식당 앞,10,37.547458,126.938377,신수동,마포구
18,ST-25,123. 문화촌 공원,20,37.594329,126.947387,홍제3동,서대문구
19,ST-26,124. 서강대 정문 건너편,35,37.551139,126.936988,대흥동,마포구
20,ST-28,126. 서강대 후문 옆,20,37.550411,126.943847,대흥동,마포구
21,ST-29,127. 현대벤처빌 앞,9,37.55352,126.93695,대흥동,마포구
22,ST-30,128. 신촌역(2호선) 1번출구 옆,20,37.555496,126.93634,신촌동,서대문구
23,ST-31,129. 신촌역(2호선) 6번출구 옆,10,37.555053,126.937568,대흥동,마포구
24,ST-32,130. 신촌역(2호선) 7번출구 앞,10,37.554859,126.936157,서교동,마포구
25,ST-33,131. 증산2교,20,37.584171,126.911102,북가좌2동,서대문구
26,ST-35,133. 해담는다리,15,37.582031,126.908996,북가좌2동,서대문구
27,ST-36,134. 연세로 명물길,8,37.557891,126.938079,신촌동,서대문구
28,ST-37,135. 명물길 원형무대 앞,10,37.559226,126.939842,신촌동,서대문구
29,ST-39,137. 신촌기차역입구 교차로,10,37.556812,126.943183,신촌동,서대문구
30,ST-40,138. 신촌동 제1공영주차장 앞,10,37.559177,126.934524,신촌동,서대문구
31,ST-43,139. 연세대 정문 건너편,10,37.559864,126.934417,신촌동,서대문구
32,ST-41,140. 이화여대 후문,22,37.560009,126.940734,신촌동,서대문구
33,ST-42,141. 연대 대운동장 옆,10,37.562381,126.932647,신촌동,서대문구
34,ST-200,142. 아현역 4번출구 앞,11,37.557201,126.955665,아현동,마포구
35,ST-201,143. 공덕역 2번출구,9,37.544578,126.950218,아현동,마포구
36,ST-202,144. 공덕역 8번출구,10,37.543579,126.951324,공덕동,마포구
37,ST-203,145. 공덕역 5번출구,9,37.54425,126.951637,공덕동,마포구
38,ST-204,146. 마포역 2번출구 뒤,12,37.539936,126.945823,용강동,마포구
39,ST-205,147. 마포역 4번출구 뒤,7,37.539272,126.945915,도화동,마포구
40,ST-206,148. 용강동 주민센터 앞,11,37.542346,126.943023,용강동,마포구
41,ST-207,150. 서강대역 2번출구 앞,15,37.552955,126.934341,대흥동,마포구
42,ST-210,153. 성산2교 사거리,10,37.564697,126.912612,성산1동,마포구
43,ST-211,154. 마포구청역 ,13,37.560909,126.905494,망원2동,마포구
44,ST-212,155. 가좌역1 번출구 앞,15,37.568294,126.915046,성산2동,마포구
45,ST-213,156. 서울서부지방법원 앞,10,37.549331,126.954917,공덕동,마포구
46,ST-214,157. 애오개역 4번출구 앞,12,37.553001,126.956687,공덕동,마포구
47,ST-216,159. 이대역 4번 출구,5,37.556953,126.946342,신촌동,서대문구
48,ST-217,160. 북아현동 가구거리,13,37.557548,126.959381,북아현동,서대문구
49,ST-218,161. 무악재역1번 출구,8,37.582244,126.950645,홍제2동,서대문구
